year,university,1_list,final_grade,since_2010,city,CCAA,covid_format_change,diff_1_list,diff_final_grade,diff_1_list_final_grade,latitude,longitude
2014,u. de murcia,12.854,12.389,True,murcia,Murcia,0.0,0.111,0.043,0.465,37.99109245,-1.13010405
2014,u. de barcelona-clínico,12.46,12.394,True,barcelona,Cataluña,0.0,0.052,0.305,0.066,41.39017434,2.15212588
2014,u. de oviedo,12.692,12.408,True,oviedo,Asturias,0.0,-0.002,-0.05,0.284,43.3533657,-5.8687712
2014,u. de sevilla,12.653,12.44,True,sevilla,Andalucía,0.0,0.116,0.182,0.213,37.4128557,-5.9845606
2014,u. de córdoba,12.683,12.466,True,córdoba,Andalucía,0.0,0.145,0.233,0.217,37.8560421,-4.8134452
2014,u. de málaga,12.72,12.473,True,málaga,Andalucía,0.0,0.093,0.166,0.247,36.7200431,-4.41617939
2014,u. de las palmas,12.78,12.509,True,las palmas,Canarias,0.0,0.188,0.249,0.271,28.09055808,-15.41890014
2014,u. autónoma de madrid,12.652,12.558,True,madrid,C. Madrid,0.0,0.094,0.129,0.094,40.4832261,-3.6972262
2014,u. de la laguna,12.793,12.58,True,la laguna,Canarias,0.0,0.313,0.457,0.213,28.4852475,-16.3126059
2014,u. complutense de madrid,12.617,12.615,True,madrid,C. Madrid,0.0,0.046,0.18,0.002,40.4437398,-3.72614639
2014,u. de granada,12.933,12.697,True,granada,Andalucía,0.0,0.169,0.181,0.236,37.1474408,-3.6042349
2015,u. de lérida,12.266,12.101,True,lérida,Cataluña,0.0,0.222,0.194,0.165,41.81636125,1.59713745
2015,u. rovira i virgili (reus),12.236,12.108,True,reus,Cataluña,0.0,0.194,0.14,0.128,41.155309,1.1053273
2015,u. de cantabria (santander),12.572,12.178,True,santander,Cantabria,0.0,0.032,0.11,0.394,43.4736983,-3.7859174
2015,u. de santiago de compostela,12.332,12.178,True,santiago de compostela,Galicia,0.0,0.0,0.076,0.154,42.88050025,-8.5457602
2015,u. de gerona,12.242,12.182,True,gerona,Cataluña,0.0,0.184,0.263,0.06,41.9743792,2.8235429
2015,u. del país vasco (lejona),12.268,12.22,True,bilbao,País Vasco,0.0,0.157,0.197,0.048,43.3359821,-2.9768285
2015,u. de zaragoza (campus huesca),12.456,12.234,True,huesca,Aragón,0.0,0.18,0.202,0.222,42.1414059,-0.4060896
